Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Chase Center,Frost Bank Center,"(37.767892700000004, -122.38740721330376)","(29.4270504, -98.43750706398404)",2398.941671244901
Chase Center,Gainbridge Fieldhouse,"(37.767892700000004, -122.38740721330376)","(39.7639331, -86.15550794973416)",3135.283693236039
Chase Center,Golden 1 Center,"(37.767892700000004, -122.38740721330376)","(38.58014045, -121.49950076409176)",119.08641700453106
Chase Center,Kaseya Center,"(37.767892700000004, -122.38740721330376)","(25.781359549999998, -80.18794351626137)",4172.6280563006085
Chase Center,Little Caesars Arena,"(37.767892700000004, -122.38740721330376)","(42.3409774, -83.05495452754165)",3363.8256480409505
Chase Center,Madison Square Garden,"(37.767892700000004, -122.38740721330376)","(40.750512900000004, -73.99351594545152)",4136.95277154461
Chase Center,Moda Center,"(37.767892700000004, -122.38740721330376)","(45.5315787, -122.66683365218687)",862.5994873681187
Chase Center,Paycom Center,"(37.767892700000004, -122.38740721330376)","(35.46339605, -97.51508150130435)",2233.0257036821718
Chase Center,Rocket Mortgage FieldHouse,"(37.767892700000004, -122.38740721330376)","(41.4966862, -81.68857538921003)",3486.039946815255
Chase Center,Scotiabank Arena,"(37.767892700000004, -122.38740721330376)","(43.64343375, -79.37907772483726)",3650.7622291223156
Chase Center,Smoothie King Center,"(37.767892700000004, -122.38740721330376)","(29.94903925, -90.08206899587637)",3095.380739594086
Chase Center,Spectrum Center,"(37.767892700000004, -122.38740721330376)","(35.225098, -80.83915411814897)",3702.678119155762
Chase Center,State Farm Arena,"(37.767892700000004, -122.38740721330376)","(33.7573698, -84.39638483503104)",3440.6352180205663
Chase Center,Target Center,"(37.767892700000004, -122.38740721330376)","(44.979512650000004, -93.27609502567992)",2547.5875929250424
Chase Center,TD Garden,"(37.767892700000004, -122.38740721330376)","(42.3662986, -71.06216222263835)",4341.623190362532
Chase Center,Toyota Center,"(37.767892700000004, -122.38740721330376)","(29.75074725, -95.36223151477087)",2645.571001815703
Chase Center,United Center,"(37.767892700000004, -122.38740721330376)","(41.88068305, -87.67418510441388)",2985.9992158694413
Chase Center,Wells Fargo Center (Philadelphia),"(37.767892700000004, -122.38740721330376)","(39.901100400000004, -75.17201654615069)",4058.4240766982193
Crypto.com Arena,American Airlines Center,"(34.0429979, -118.2671352463293)","(32.7905076, -96.81027213460834)",1996.9082063183894
Crypto.com Arena,Amway Center,"(34.0429979, -118.2671352463293)","(28.53927385, -81.38400713924818)",3544.9409783541337
Crypto.com Arena,Ball Arena,"(34.0429979, -118.2671352463293)","(39.748683799999995, -105.00754401780362)",1338.796870599204
Crypto.com Arena,Barclays Center,"(34.0429979, -118.2671352463293)","(40.68251055, -73.97525186658912)",3949.6280845868437
Crypto.com Arena,Capital One Arena,"(34.0429979, -118.2671352463293)","(38.8981883, -77.0209377602636)",3704.014491301924
Crypto.com Arena,Chase Center,"(34.0429979, -118.2671352463293)","(37.767892700000004, -122.38740721330376)",555.8915314922967
Crypto.com Arena,Delta Center,"(34.0429979, -118.2671352463293)","(40.76832735, -111.90105507486473)",934.712487825096
Crypto.com Arena,FedExForum,"(34.0429979, -118.2671352463293)","(35.1382401, -90.05069457768097)",2582.7898895741914
Crypto.com Arena,Fiserv Forum,"(34.0429979, -118.2671352463293)","(43.04500955, -87.91748710581575)",2809.4141059113504
