Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Target Center,Golden 1 Center,"(44.979512650000004, -93.27609502567992)","(38.58014045, -121.49950076409176)",2437.476704464677
Target Center,Kaseya Center,"(44.979512650000004, -93.27609502567992)","(25.781359549999998, -80.18794351626137)",2432.2503236517286
Target Center,Little Caesars Arena,"(44.979512650000004, -93.27609502567992)","(42.3409774, -83.05495452754165)",874.2822977186213
Target Center,Madison Square Garden,"(44.979512650000004, -93.27609502567992)","(40.750512900000004, -73.99351594545152)",1639.7516437501931
Target Center,Moda Center,"(44.979512650000004, -93.27609502567992)","(45.5315787, -122.66683365218687)",2294.920095834475
Target Center,Paycom Center,"(44.979512650000004, -93.27609502567992)","(35.46339605, -97.51508150130435)",1116.1330719061605
Target Center,Rocket Mortgage FieldHouse,"(44.979512650000004, -93.27609502567992)","(41.4966862, -81.68857538921003)",1016.4445147894943
Target Center,Scotiabank Arena,"(44.979512650000004, -93.27609502567992)","(43.64343375, -79.37907772483726)",1117.2600514245805
Target Center,Smoothie King Center,"(44.979512650000004, -93.27609502567992)","(29.94903925, -90.08206899587637)",1691.587358254052
Target Center,Spectrum Center,"(44.979512650000004, -93.27609502567992)","(35.225098, -80.83915411814897)",1512.3849355114055
Target Center,State Farm Arena,"(44.979512650000004, -93.27609502567992)","(33.7573698, -84.39638483503104)",1460.0401615816695
Target Center,TD Garden,"(44.979512650000004, -93.27609502567992)","(42.3662986, -71.06216222263835)",1808.936790211891
Target Center,Toyota Center,"(44.979512650000004, -93.27609502567992)","(29.75074725, -95.36223151477087)",1700.0927306321555
Target Center,United Center,"(44.979512650000004, -93.27609502567992)","(41.88068305, -87.67418510441388)",569.2176955176775
Target Center,Wells Fargo Center (Philadelphia),"(44.979512650000004, -93.27609502567992)","(39.901100400000004, -75.17201654615069)",1588.537530532527
TD Garden,American Airlines Center,"(42.3662986, -71.06216222263835)","(32.7905076, -96.81027213460834)",2497.240192342422
TD Garden,Amway Center,"(42.3662986, -71.06216222263835)","(28.53927385, -81.38400713924818)",1794.4286985359838
TD Garden,Ball Arena,"(42.3662986, -71.06216222263835)","(39.748683799999995, -105.00754401780362)",2849.2323593133933
TD Garden,Barclays Center,"(42.3662986, -71.06216222263835)","(40.68251055, -73.97525186658912)",306.70757694077065
TD Garden,Capital One Arena,"(42.3662986, -71.06216222263835)","(38.8981883, -77.0209377602636)",634.1204819699817
TD Garden,Chase Center,"(42.3662986, -71.06216222263835)","(37.767892700000004, -122.38740721330376)",4341.623190362532
TD Garden,Crypto.com Arena,"(42.3662986, -71.06216222263835)","(34.0429979, -118.2671352463293)",4180.848074010273
TD Garden,Delta Center,"(42.3662986, -71.06216222263835)","(40.76832735, -111.90105507486473)",3378.074301582716
TD Garden,FedExForum,"(42.3662986, -71.06216222263835)","(35.1382401, -90.05069457768097)",1829.7442954761925
TD Garden,Fiserv Forum,"(42.3662986, -71.06216222263835)","(43.04500955, -87.91748710581575)",1380.67293416355
TD Garden,Footprint Center,"(42.3662986, -71.06216222263835)","(33.4460392, -112.07110129629386)",3701.0396728404316
TD Garden,Frost Bank Center,"(42.3662986, -71.06216222263835)","(29.4270504, -98.43750706398404)",2839.348341143355
TD Garden,Gainbridge Fieldhouse,"(42.3662986, -71.06216222263835)","(39.7639331, -86.15550794973416)",1299.2352768265382
TD Garden,Golden 1 Center,"(42.3662986, -71.06216222263835)","(38.58014045, -121.49950076409176)",4234.9332379712505
TD Garden,Kaseya Center,"(42.3662986, -71.06216222263835)","(25.781359549999998, -80.18794351626137)",2020.3482009642794
TD Garden,Little Caesars Arena,"(42.3662986, -71.06216222263835)","(42.3409774, -83.05495452754165)",987.2750569477116
TD Garden,Madison Square Garden,"(42.3662986, -71.06216222263835)","(40.750512900000004, -73.99351594545152)",303.28848493705397
TD Garden,Moda Center,"(42.3662986, -71.06216222263835)","(45.5315787, -122.66683365218687)",4085.701591719242
TD Garden,Paycom Center,"(42.3662986, -71.06216222263835)","(35.46339605, -97.51508150130435)",2407.2303721497497
TD Garden,Rocket Mortgage FieldHouse,"(42.3662986, -71.06216222263835)","(41.4966862, -81.68857538921003)",886.0365785476835
TD Garden,Scotiabank Arena,"(42.3662986, -71.06216222263835)","(43.64343375, -79.37907772483726)",692.4784492791512
TD Garden,Smoothie King Center,"(42.3662986, -71.06216222263835)","(29.94903925, -90.08206899587637)",2188.2158235502507
TD Garden,Spectrum Center,"(42.3662986, -71.06216222263835)","(35.225098, -80.83915411814897)",1160.3731687948205
TD Garden,State Farm Arena,"(42.3662986, -71.06216222263835)","(33.7573698, -84.39638483503104)",1507.5761424296022
TD Garden,Target Center,"(42.3662986, -71.06216222263835)","(44.979512650000004, -93.27609502567992)",1808.936790211891
TD Garden,Toyota Center,"(42.3662986, -71.06216222263835)","(29.75074725, -95.36223151477087)",2584.047521801623
TD Garden,United Center,"(42.3662986, -71.06216222263835)","(41.88068305, -87.67418510441388)",1372.5269899759655
TD Garden,Wells Fargo Center (Philadelphia),"(42.3662986, -71.06216222263835)","(39.901100400000004, -75.17201654615069)",440.4016526079523
Toyota Center,American Airlines Center,"(29.75074725, -95.36223151477087)","(32.7905076, -96.81027213460834)",364.1390826183179
Toyota Center,Amway Center,"(29.75074725, -95.36223151477087)","(28.53927385, -81.38400713924818)",1365.8812727718462
Toyota Center,Ball Arena,"(29.75074725, -95.36223151477087)","(39.748683799999995, -105.00754401780362)",1415.8896870122924
Toyota Center,Barclays Center,"(29.75074725, -95.36223151477087)","(40.68251055, -73.97525186658912)",2284.523856816217
Toyota Center,Capital One Arena,"(29.75074725, -95.36223151477087)","(38.8981883, -77.0209377602636)",1963.8238557864627
Toyota Center,Chase Center,"(29.75074725, -95.36223151477087)","(37.767892700000004, -122.38740721330376)",2645.571001815703
Toyota Center,Crypto.com Arena,"(29.75074725, -95.36223151477087)","(34.0429979, -118.2671352463293)",2213.3787164627515
Toyota Center,Delta Center,"(29.75074725, -95.36223151477087)","(40.76832735, -111.90105507486473)",1932.9939366331612
Toyota Center,FedExForum,"(29.75074725, -95.36223151477087)","(35.1382401, -90.05069457768097)",778.4283729824717
Toyota Center,Fiserv Forum,"(29.75074725, -95.36223151477087)","(43.04500955, -87.91748710581575)",1617.6677783431596
Toyota Center,Footprint Center,"(29.75074725, -95.36223151477087)","(33.4460392, -112.07110129629386)",1635.724915194826
Toyota Center,Frost Bank Center,"(29.75074725, -95.36223151477087)","(29.4270504, -98.43750706398404)",300.08055952938946
Toyota Center,Gainbridge Fieldhouse,"(29.75074725, -95.36223151477087)","(39.7639331, -86.15550794973416)",1392.683544306018
Toyota Center,Golden 1 Center,"(29.75074725, -95.36223151477087)","(38.58014045, -121.49950076409176)",2589.916446151418
Toyota Center,Kaseya Center,"(29.75074725, -95.36223151477087)","(25.781359549999998, -80.18794351626137)",1557.6773113672195
Toyota Center,Little Caesars Arena,"(29.75074725, -95.36223151477087)","(42.3409774, -83.05495452754165)",1779.6401516577544
Toyota Center,Madison Square Garden,"(29.75074725, -95.36223151477087)","(40.750512900000004, -73.99351594545152)",2286.3729163438074
Toyota Center,Moda Center,"(29.75074725, -95.36223151477087)","(45.5315787, -122.66683365218687)",2954.818941507251
Toyota Center,Paycom Center,"(29.75074725, -95.36223151477087)","(35.46339605, -97.51508150130435)",664.9112885389748
Toyota Center,Rocket Mortgage FieldHouse,"(29.75074725, -95.36223151477087)","(41.4966862, -81.68857538921003)",1793.5026727539835
Toyota Center,Scotiabank Arena,"(29.75074725, -95.36223151477087)","(43.64343375, -79.37907772483726)",2094.145468146632
Toyota Center,Smoothie King Center,"(29.75074725, -95.36223151477087)","(29.94903925, -90.08206899587637)",510.6562406111047
Toyota Center,Spectrum Center,"(29.75074725, -95.36223151477087)","(35.225098, -80.83915411814897)",1491.9032632373694
Toyota Center,State Farm Arena,"(29.75074725, -95.36223151477087)","(33.7573698, -84.39638483503104)",1129.130280378232
Toyota Center,Target Center,"(29.75074725, -95.36223151477087)","(44.979512650000004, -93.27609502567992)",1700.0927306321555
Toyota Center,TD Garden,"(29.75074725, -95.36223151477087)","(42.3662986, -71.06216222263835)",2584.047521801623
Toyota Center,United Center,"(29.75074725, -95.36223151477087)","(41.88068305, -87.67418510441388)",1513.0427777695793
Toyota Center,Wells Fargo Center (Philadelphia),"(29.75074725, -95.36223151477087)","(39.901100400000004, -75.17201654615069)",2155.4479646451246
United Center,American Airlines Center,"(41.88068305, -87.67418510441388)","(32.7905076, -96.81027213460834)",1291.90622615916
United Center,Amway Center,"(41.88068305, -87.67418510441388)","(28.53927385, -81.38400713924818)",1585.921176356087
United Center,Ball Arena,"(41.88068305, -87.67418510441388)","(39.748683799999995, -105.00754401780362)",1478.8298800651285
United Center,Barclays Center,"(41.88068305, -87.67418510441388)","(40.68251055, -73.97525186658912)",1154.0774205057833
United Center,Capital One Arena,"(41.88068305, -87.67418510441388)","(38.8981883, -77.0209377602636)",962.4362495132654
United Center,Chase Center,"(41.88068305, -87.67418510441388)","(37.767892700000004, -122.38740721330376)",2985.9992158694413
United Center,Crypto.com Arena,"(41.88068305, -87.67418510441388)","(34.0429979, -118.2671352463293)",2808.323090473447
United Center,Delta Center,"(41.88068305, -87.67418510441388)","(40.76832735, -111.90105507486473)",2025.3182742693964
United Center,FedExForum,"(41.88068305, -87.67418510441388)","(35.1382401, -90.05069457768097)",776.5331848353286
United Center,Fiserv Forum,"(41.88068305, -87.67418510441388)","(43.04500955, -87.91748710581575)",130.87476773939767
United Center,Footprint Center,"(41.88068305, -87.67418510441388)","(33.4460392, -112.07110129629386)",2336.729887708842
United Center,Frost Bank Center,"(41.88068305, -87.67418510441388)","(29.4270504, -98.43750706398404)",1687.8458982845955
United Center,Gainbridge Fieldhouse,"(41.88068305, -87.67418510441388)","(39.7639331, -86.15550794973416)",267.7004141351562
United Center,Golden 1 Center,"(41.88068305, -87.67418510441388)","(38.58014045, -121.49950076409176)",2883.1010324508875
United Center,Kaseya Center,"(41.88068305, -87.67418510441388)","(25.781359549999998, -80.18794351626137)",1913.5140372361932
United Center,Little Caesars Arena,"(41.88068305, -87.67418510441388)","(42.3409774, -83.05495452754165)",385.39823787587596
United Center,Madison Square Garden,"(41.88068305, -87.67418510441388)","(40.750512900000004, -73.99351594545152)",1151.1299808313465
United Center,Moda Center,"(41.88068305, -87.67418510441388)","(45.5315787, -122.66683365218687)",2826.6084099705317
United Center,Paycom Center,"(41.88068305, -87.67418510441388)","(35.46339605, -97.51508150130435)",1112.636897132407
United Center,Rocket Mortgage FieldHouse,"(41.88068305, -87.67418510441388)","(41.4966862, -81.68857538921003)",500.0408217350263
United Center,Scotiabank Arena,"(41.88068305, -87.67418510441388)","(43.64343375, -79.37907772483726)",706.3135375371663
United Center,Smoothie King Center,"(41.88068305, -87.67418510441388)","(29.94903925, -90.08206899587637)",1341.4751788605731
United Center,Spectrum Center,"(41.88068305, -87.67418510441388)","(35.225098, -80.83915411814897)",948.4234540629647
United Center,State Farm Arena,"(41.88068305, -87.67418510441388)","(33.7573698, -84.39638483503104)",946.4865510710621
United Center,Target Center,"(41.88068305, -87.67418510441388)","(44.979512650000004, -93.27609502567992)",569.2176955176775
United Center,TD Garden,"(41.88068305, -87.67418510441388)","(42.3662986, -71.06216222263835)",1372.5269899759655
United Center,Toyota Center,"(41.88068305, -87.67418510441388)","(29.75074725, -95.36223151477087)",1513.0427777695793
United Center,Wells Fargo Center (Philadelphia),"(41.88068305, -87.67418510441388)","(39.901100400000004, -75.17201654615069)",1075.2490909329301
Wells Fargo Center (Philadelphia),American Airlines Center,"(39.901100400000004, -75.17201654615069)","(32.7905076, -96.81027213460834)",2089.7358022902413
Wells Fargo Center (Philadelphia),Amway Center,"(39.901100400000004, -75.17201654615069)","(28.53927385, -81.38400713924818)",1383.2713489353614
Wells Fargo Center (Philadelphia),Ball Arena,"(39.901100400000004, -75.17201654615069)","(39.748683799999995, -105.00754401780362)",2542.3084831599444
Wells Fargo Center (Philadelphia),Barclays Center,"(39.901100400000004, -75.17201654615069)","(40.68251055, -73.97525186658912)",133.7277680805647
Wells Fargo Center (Philadelphia),Capital One Arena,"(39.901100400000004, -75.17201654615069)","(38.8981883, -77.0209377602636)",194.31697003809427
Wells Fargo Center (Philadelphia),Chase Center,"(39.901100400000004, -75.17201654615069)","(37.767892700000004, -122.38740721330376)",4058.4240766982193
Wells Fargo Center (Philadelphia),Crypto.com Arena,"(39.901100400000004, -75.17201654615069)","(34.0429979, -118.2671352463293)",3854.168767695642
Wells Fargo Center (Philadelphia),Delta Center,"(39.901100400000004, -75.17201654615069)","(40.76832735, -111.90105507486473)",3099.584552661305
Wells Fargo Center (Philadelphia),FedExForum,"(39.901100400000004, -75.17201654615069)","(35.1382401, -90.05069457768097)",1415.3061044841836
Wells Fargo Center (Philadelphia),Fiserv Forum,"(39.901100400000004, -75.17201654615069)","(43.04500955, -87.91748710581575)",1119.0936687375515
Wells Fargo Center (Philadelphia),Footprint Center,"(39.901100400000004, -75.17201654615069)","(33.4460392, -112.07110129629386)",3350.3587253174856
Wells Fargo Center (Philadelphia),Frost Bank Center,"(39.901100400000004, -75.17201654615069)","(29.4270504, -98.43750706398404)",2417.918239606102
Wells Fargo Center (Philadelphia),Gainbridge Fieldhouse,"(39.901100400000004, -75.17201654615069)","(39.7639331, -86.15550794973416)",939.741014364107
Wells Fargo Center (Philadelphia),Golden 1 Center,"(39.901100400000004, -75.17201654615069)","(38.58014045, -121.49950076409176)",3956.793693978571
Wells Fargo Center (Philadelphia),Kaseya Center,"(39.901100400000004, -75.17201654615069)","(25.781359549999998, -80.18794351626137)",1634.0468749835693
Wells Fargo Center (Philadelphia),Little Caesars Arena,"(39.901100400000004, -75.17201654615069)","(42.3409774, -83.05495452754165)",714.9625415959118
Wells Fargo Center (Philadelphia),Madison Square Garden,"(39.901100400000004, -75.17201654615069)","(40.750512900000004, -73.99351594545152)",137.57480307177897
Wells Fargo Center (Philadelphia),Moda Center,"(39.901100400000004, -75.17201654615069)","(45.5315787, -122.66683365218687)",3882.6130214188534
Wells Fargo Center (Philadelphia),Paycom Center,"(39.901100400000004, -75.17201654615069)","(35.46339605, -97.51508150130435)",2025.5902397446764
Wells Fargo Center (Philadelphia),Rocket Mortgage FieldHouse,"(39.901100400000004, -75.17201654615069)","(41.4966862, -81.68857538921003)",578.3845956125504
Wells Fargo Center (Philadelphia),Scotiabank Arena,"(39.901100400000004, -75.17201654615069)","(43.64343375, -79.37907772483726)",543.0996072560397
Wells Fargo Center (Philadelphia),Smoothie King Center,"(39.901100400000004, -75.17201654615069)","(29.94903925, -90.08206899587637)",1749.2928874059467
Wells Fargo Center (Philadelphia),Spectrum Center,"(39.901100400000004, -75.17201654615069)","(35.225098, -80.83915411814897)",720.8170867434327
Wells Fargo Center (Philadelphia),State Farm Arena,"(39.901100400000004, -75.17201654615069)","(33.7573698, -84.39638483503104)",1067.5948655145776
Wells Fargo Center (Philadelphia),Target Center,"(39.901100400000004, -75.17201654615069)","(44.979512650000004, -93.27609502567992)",1588.537530532527
Wells Fargo Center (Philadelphia),TD Garden,"(39.901100400000004, -75.17201654615069)","(42.3662986, -71.06216222263835)",440.4016526079523
Wells Fargo Center (Philadelphia),Toyota Center,"(39.901100400000004, -75.17201654615069)","(29.75074725, -95.36223151477087)",2155.4479646451246
Wells Fargo Center (Philadelphia),United Center,"(39.901100400000004, -75.17201654615069)","(41.88068305, -87.67418510441388)",1075.2490909329301
